club_name,league,annual_revenue_eur_m,wage_to_revenue,operating_cash_flow_eur_m,debt_to_assets,regulatory_headroom_eur_m,uefa_coefficient_trend,league_position_trend,broadcast_revenue_share,payment_timeliness_score,management_tenure_years,true_pd,defaulted
Borussia Talheim,Bundesliga,105.0,0.935,-1.3,0.648,16.3,14.38,-2.9,0.223,0.79,1.0,0.0725,0
RFC Lysveld,Belgian Pro League,105.7,1.044,55.4,0.288,-4.6,-6.64,-1.43,0.491,0.826,10.9,0.0718,0
FC Maasdijk,Eredivisie,87.1,1.048,54.1,0.269,26.8,-0.93,1.59,0.431,0.213,4.0,0.1305,0
TSV Mooshausen,Bundesliga,215.7,0.916,9.3,0.605,25.1,-10.2,-0.0,0.238,0.798,2.7,0.0377,1
Borussia Talheim,Bundesliga,227.5,0.797,41.8,0.182,30.5,-9.64,-7.84,0.307,0.361,9.3,0.0231,0
VfL Donaustein,Bundesliga,199.1,0.886,-3.0,0.301,-1.8,3.1,-3.2,0.547,0.423,2.8,0.2225,0
Union Kempen,Belgian Pro League,238.8,0.571,40.3,0.663,38.8,7.53,-2.48,0.254,0.936,11.9,0.0002,0
VfL Donaustein,Bundesliga,117.0,0.784,-8.9,0.723,8.4,4.09,4.14,0.601,0.892,5.0,0.0194,0
FC Waldkirchen,Bundesliga,163.3,0.647,49.9,0.725,53.9,-5.12,-3.34,0.513,0.375,3.6,0.0071,0
FC Waldkirchen,Bundesliga,36.0,0.574,44.2,0.46,40.1,-13.21,-9.84,0.25,0.488,0.7,0.0051,0
FC Nordhafen,Bundesliga,156.3,1.019,-0.6,0.52,17.9,-0.89,-8.31,0.343,0.287,0.5,0.8201,0
Olympia Dollard,Eredivisie,130.9,0.978,18.7,0.692,35.8,0.13,-0.06,0.269,0.515,1.1,0.0411,0
KV Scheldebrug,Belgian Pro League,43.7,0.836,-19.3,0.334,23.5,8.12,-6.23,0.599,0.682,0.1,0.0181,0
FC Waldkirchen,Bundesliga,113.7,0.669,7.2,0.67,26.4,4.21,-0.11,0.466,0.093,3.9,0.0671,0
SC Lindehoven,Eredivisie,246.1,0.835,1.7,0.193,2.4,11.14,1.48,0.201,0.92,3.7,0.0015,0
SC Eichberg,Bundesliga,78.8,0.779,-2.7,0.811,30.6,8.49,8.67,0.471,0.719,5.2,0.0307,0
FC Hertenbos,Eredivisie,198.0,0.915,67.2,0.566,8.2,-4.02,3.11,0.441,0.097,2.8,0.3834,1
SV Rheinfelden,Bundesliga,79.7,1.072,-19.5,0.542,-16.6,3.97,-9.38,0.522,0.869,0.8,0.9177,1
Olympia Dollard,Eredivisie,217.3,0.67,59.4,0.457,42.2,7.42,-2.39,0.217,0.744,0.9,0.0004,0
VV Polderkamp,Eredivisie,131.5,0.655,-10.9,0.312,-3.2,13.71,5.87,0.218,0.313,2.2,0.0165,0
FC Hertenbos,Eredivisie,92.1,0.686,19.2,0.44,33.1,-2.33,-4.79,0.375,0.521,3.8,0.01,0
Union Kempen,Belgian Pro League,243.0,0.525,31.1,0.598,7.1,4.45,8.5,0.544,0.86,1.8,0.0007,0
Olympia Dollard,Eredivisie,79.4,0.757,48.7,0.572,16.5,-3.22,0.58,0.533,0.968,4.4,0.0007,0
Royal Ardennes FC,Belgian Pro League,134.1,0.536,-1.2,0.534,48.9,7.13,-8.15,0.339,0.281,11.1,0.0113,0
FC Waldkirchen,Bundesliga,189.9,0.561,3.9,0.288,2.3,12.36,-5.17,0.308,0.651,3.1,0.0014,0
SC Lindehoven,Eredivisie,53.0,0.706,31.5,0.683,32.2,12.58,8.13,0.542,0.86,2.0,0.0005,0
KAS Dendermonde-West,Belgian Pro League,38.9,0.654,28.1,0.5,30.5,-10.29,9.83,0.214,0.988,8.0,0.0,0
Union Kempen,Belgian Pro League,140.1,0.905,38.0,0.308,38.1,-8.88,7.26,0.478,0.071,5.9,0.0262,0
RKC Zandvoort-Noord,Eredivisie,116.6,0.59,-16.6,0.809,6.1,7.65,-3.59,0.412,0.504,0.6,0.2224,0
Sparta Veenendaal,Eredivisie,90.3,0.998,-1.7,0.544,31.1,3.93,5.38,0.32,0.874,9.5,0.0088,0
FC Walloon Rovers,Belgian Pro League,206.3,0.608,56.6,0.491,22.1,12.15,-5.56,0.46,0.003,8.6,0.0209,0
FC Maasdijk,Eredivisie,228.8,0.54,40.9,0.769,23.0,-5.59,-2.31,0.309,0.437,11.7,0.0244,0
Union Kempen,Belgian Pro League,147.6,0.526,31.4,0.422,19.4,10.44,3.94,0.482,0.584,11.3,0.0002,0
Sparta Veenendaal,Eredivisie,183.7,0.876,12.1,0.77,10.0,5.51,9.38,0.274,0.526,7.0,0.0871,0
KAS Dendermonde-West,Belgian Pro League,139.3,0.658,4.1,0.637,24.8,-9.14,-1.22,0.403,0.733,8.2,0.0168,0
FC Walloon Rovers,Belgian Pro League,170.7,0.775,60.6,0.579,-3.6,-11.21,-0.08,0.455,0.066,4.9,0.418,0
RKC Zandvoort-Noord,Eredivisie,114.8,0.594,37.2,0.356,21.1,6.08,-5.6,0.216,0.785,10.7,0.0004,0
RKC Zandvoort-Noord,Eredivisie,143.3,1.035,-5.7,0.223,21.1,-10.25,-1.94,0.505,0.283,6.6,0.4185,0
FC Maasdijk,Eredivisie,81.4,0.617,49.4,0.505,24.8,8.83,-8.74,0.575,0.824,3.9,0.0008,0
SK Meerhout,Belgian Pro League,137.6,0.74,28.7,0.199,1.0,1.71,7.17,0.678,0.419,0.1,0.0427,0
SV Rheinfelden,Bundesliga,57.3,1.006,0.1,0.284,4.7,-0.69,-9.53,0.302,0.043,7.0,0.8936,1
SpVgg Lindenau,Bundesliga,114.0,0.664,11.7,0.587,20.0,-6.73,3.67,0.304,0.964,6.3,0.0006,0
FC Nordhafen,Bundesliga,65.5,0.698,31.2,0.698,32.5,14.52,-4.54,0.352,0.781,9.7,0.001,0
SC Eichberg,Bundesliga,92.0,0.967,7.5,0.326,38.1,6.67,-0.48,0.645,0.348,2.2,0.0204,0
RKC Zandvoort-Noord,Eredivisie,169.7,0.653,32.2,0.643,26.8,8.34,-4.37,0.403,0.27,9.8,0.0373,0
SV Rheinfelden,Bundesliga,151.1,0.521,40.2,0.793,38.4,8.06,-2.0,0.351,0.589,0.2,0.0027,0
SC Eichberg,Bundesliga,152.9,0.741,0.7,0.66,-4.3,2.52,0.94,0.571,0.987,7.0,0.0233,0
FC Maasdijk,Eredivisie,29.7,0.582,43.8,0.757,53.2,13.19,2.82,0.219,0.29,4.8,0.0021,0
FC Waldkirchen,Bundesliga,35.1,1.046,-0.8,0.7,0.6,2.51,8.81,0.474,0.948,4.0,0.0618,0
Royal Ardennes FC,Belgian Pro League,122.3,0.866,14.4,0.345,8.5,0.6,-3.36,0.425,0.33,5.2,0.4116,0
TSV Mooshausen,Bundesliga,117.0,0.838,35.2,0.436,1.4,-6.79,1.7,0.512,0.704,2.7,0.0267,0
FC Waldkirchen,Bundesliga,200.3,0.601,38.1,0.765,0.4,-6.55,8.03,0.566,0.382,2.2,0.0158,0
KAS Dendermonde-West,Belgian Pro League,83.7,0.914,11.4,0.647,33.1,7.11,-4.2,0.362,0.085,9.7,0.444,1
SC Eichberg,Bundesliga,52.2,0.917,23.8,0.747,0.1,-4.96,7.3,0.518,0.936,2.7,0.1351,0
Royal Ardennes FC,Belgian Pro League,176.6,0.539,58.0,0.79,14.2,6.86,9.15,0.462,0.164,8.8,0.0038,0
SC Lindehoven,Eredivisie,118.4,0.992,43.2,0.352,-5.8,13.58,6.95,0.267,0.945,8.5,0.0035,0
FC Walloon Rovers,Belgian Pro League,284.3,0.759,64.6,0.315,49.0,-1.82,1.4,0.641,0.103,0.4,0.0213,0
SK Meerhout,Belgian Pro League,240.1,0.89,15.8,0.547,33.3,-12.08,4.44,0.577,0.267,10.6,0.0535,0
RFC Lysveld,Belgian Pro League,133.3,0.664,15.6,0.211,49.2,5.0,-0.38,0.661,0.921,9.5,0.0001,0
KV Scheldebrug,Belgian Pro League,102.3,0.605,22.3,0.579,46.9,-14.71,1.95,0.56,0.659,9.6,0.0067,0
SC Eichberg,Bundesliga,181.4,0.87,-7.6,0.685,41.4,8.61,9.49,0.322,0.189,9.7,0.0707,0
SC Eichberg,Bundesliga,128.7,0.942,42.1,0.589,13.6,0.77,-4.98,0.415,0.592,7.0,0.0317,0
FC Nordhafen,Bundesliga,95.1,0.746,3.8,0.406,1.1,-0.31,5.85,0.393,0.18,11.9,0.0469,0
Borussia Talheim,Bundesliga,243.2,0.489,18.1,0.596,18.4,2.08,0.12,0.218,0.874,2.1,0.0011,0
Royal Ardennes FC,Belgian Pro League,62.0,0.986,-5.1,0.329,1.1,0.49,-6.46,0.405,0.05,0.9,0.7175,1
SV Rheinfelden,Bundesliga,202.9,0.602,13.4,0.728,38.3,-5.29,2.87,0.373,0.53,8.5,0.0088,0
SK Meerhout,Belgian Pro League,137.7,0.702,9.9,0.257,-6.2,-6.55,5.85,0.202,0.063,3.5,0.2758,0
SV Rheinfelden,Bundesliga,84.6,0.877,24.2,0.776,-4.6,-2.54,1.38,0.624,0.695,7.3,0.3891,1
Borussia Talheim,Bundesliga,103.0,0.593,24.7,0.531,36.6,11.85,6.75,0.272,0.936,4.7,0.0001,0
SC Lindehoven,Eredivisie,155.7,0.554,5.7,0.457,4.2,-10.94,-2.68,0.45,0.831,4.0,0.0068,0
Union Kempen,Belgian Pro League,179.8,0.519,4.7,0.489,0.8,-5.26,8.28,0.592,0.372,10.7,0.0194,0
KV Scheldebrug,Belgian Pro League,172.7,0.986,51.6,0.301,-9.9,-9.23,2.97,0.502,0.237,1.7,0.6341,1
RKC Zandvoort-Noord,Eredivisie,119.8,0.696,-11.1,0.496,33.9,-2.19,6.06,0.285,0.121,2.3,0.1213,0
SC Lindehoven,Eredivisie,108.0,0.883,19.9,0.754,-5.0,-11.0,-4.54,0.509,0.874,8.0,0.3173,0
KAS Dendermonde-West,Belgian Pro League,146.6,1.036,25.0,0.7,-9.2,7.82,-1.08,0.579,0.081,9.4,0.8975,1
AFC Kanaalstad,Eredivisie,51.0,0.914,17.9,0.347,-0.5,-11.9,8.19,0.627,0.629,10.0,0.0643,0
Borussia Talheim,Bundesliga,157.7,0.789,54.4,0.612,34.6,4.96,-8.98,0.359,0.367,2.8,0.0208,0
AFC Kanaalstad,Eredivisie,64.7,0.83,23.3,0.783,0.3,-6.97,-1.92,0.217,0.996,10.6,0.0113,0
KV Scheldebrug,Belgian Pro League,85.5,0.746,52.7,0.747,-7.0,-0.83,5.61,0.504,0.509,7.3,0.0175,0
Sparta Veenendaal,Eredivisie,228.2,0.795,61.6,0.413,43.7,-9.0,4.88,0.313,0.549,9.9,0.0009,0
TSV Mooshausen,Bundesliga,98.1,1.042,-4.3,0.246,34.4,6.91,7.03,0.59,0.918,0.8,0.0025,0
VfL Donaustein,Bundesliga,120.9,0.943,0.5,0.798,-4.1,13.45,4.79,0.54,0.97,4.3,0.1911,0
SV Rheinfelden,Bundesliga,79.5,0.773,3.6,0.479,6.0,-8.35,8.94,0.587,0.584,6.3,0.036,0
KV Scheldebrug,Belgian Pro League,89.3,0.721,8.3,0.451,3.0,13.59,-0.03,0.684,0.796,6.9,0.0033,0
SC Eichberg,Bundesliga,185.5,0.963,32.1,0.652,27.4,-5.24,2.49,0.492,0.635,1.2,0.0288,0
TSV Mooshausen,Bundesliga,122.7,0.603,0.0,0.37,10.3,1.74,6.95,0.652,0.427,6.5,0.0054,0
Olympia Dollard,Eredivisie,84.1,0.992,-5.3,0.758,39.2,6.05,4.03,0.521,0.057,8.0,0.6507,1
FC Waldkirchen,Bundesliga,162.9,0.646,16.2,0.227,43.6,-9.02,-7.96,0.291,0.718,4.3,0.0006,0
Olympia Dollard,Eredivisie,195.0,0.871,42.4,0.634,22.4,-1.66,-2.66,0.6,0.7,6.0,0.0254,0
VfL Donaustein,Bundesliga,65.1,0.978,28.3,0.852,-15.7,-12.97,1.05,0.547,0.117,3.5,0.9882,1
SK Meerhout,Belgian Pro League,117.0,0.783,56.6,0.842,42.8,5.91,5.09,0.689,0.23,10.4,0.0175,0
FC Nordhafen,Bundesliga,232.9,0.581,10.7,0.73,39.6,-2.5,0.87,0.322,0.732,7.2,0.0019,0
AFC Kanaalstad,Eredivisie,126.7,0.97,12.8,0.756,31.3,11.75,5.55,0.367,0.15,6.6,0.1787,0
KAS Dendermonde-West,Belgian Pro League,52.3,0.756,48.1,0.42,-5.1,-6.78,6.75,0.611,0.691,11.3,0.0081,0
SK Meerhout,Belgian Pro League,81.9,0.718,30.4,0.843,34.3,12.71,-4.7,0.231,0.718,8.0,0.0023,0
RFC Lysveld,Belgian Pro League,169.3,0.776,33.2,0.769,38.2,-10.77,2.32,0.517,0.353,3.4,0.0466,0
SC Lindehoven,Eredivisie,38.5,0.798,13.7,0.591,46.7,3.21,1.14,0.468,0.258,7.7,0.0418,0
RFC Lysveld,Belgian Pro League,237.3,0.834,1.4,0.393,23.0,-5.77,-5.45,0.284,0.373,11.5,0.0644,0
Borussia Talheim,Bundesliga,203.0,0.566,60.4,0.225,26.9,-9.55,-0.2,0.283,0.359,0.3,0.0018,0
KAS Dendermonde-West,Belgian Pro League,180.3,0.732,37.1,0.546,16.8,-12.18,0.97,0.605,0.607,7.5,0.0237,0
SK Meerhout,Belgian Pro League,88.9,1.012,22.1,0.669,24.8,4.67,6.35,0.208,0.744,1.9,0.0155,0
Union Kempen,Belgian Pro League,130.6,0.547,24.6,0.455,52.3,-8.0,-0.78,0.573,0.862,9.8,0.0009,0
FC Maasdijk,Eredivisie,159.0,0.753,16.6,0.44,26.7,2.18,-8.38,0.566,0.03,7.7,0.0953,0
VfL Donaustein,Bundesliga,100.7,0.886,-0.9,0.581,0.2,14.38,-0.25,0.525,0.727,11.2,0.0531,0
Royal Ardennes FC,Belgian Pro League,224.1,0.947,52.2,0.161,-14.2,-5.52,6.76,0.405,0.314,8.0,0.177,0
FC Nordhafen,Bundesliga,113.3,0.845,20.2,0.82,25.0,-13.95,1.43,0.214,0.839,0.2,0.0083,0
RFC Lysveld,Belgian Pro League,149.4,0.949,-12.1,0.372,36.5,-10.72,-3.62,0.601,0.076,6.1,0.5545,1
Royal Ardennes FC,Belgian Pro League,117.3,0.651,12.2,0.295,-2.2,-11.42,8.42,0.263,0.551,10.8,0.0008,0
AFC Kanaalstad,Eredivisie,87.0,0.732,49.4,0.225,15.2,-1.1,-6.89,0.34,0.549,2.8,0.0047,0
Sparta Veenendaal,Eredivisie,203.0,0.985,20.4,0.704,39.9,7.34,-3.46,0.673,0.327,1.0,0.3807,1
SpVgg Lindenau,Bundesliga,149.2,0.981,17.1,0.739,13.8,-6.11,-1.26,0.351,0.97,8.6,0.0252,0
SV Rheinfelden,Bundesliga,79.4,0.843,25.0,0.287,1.2,-10.62,4.76,0.328,0.107,6.0,0.1358,0
SV Rheinfelden,Bundesliga,147.9,0.768,46.8,0.284,11.4,4.22,6.71,0.687,0.136,0.6,0.0891,1
Union Kempen,Belgian Pro League,252.8,0.706,48.9,0.414,16.6,-5.96,-8.83,0.243,0.644,3.4,0.0038,0
FC Maasdijk,Eredivisie,91.3,0.577,43.9,0.338,3.1,2.26,5.84,0.28,0.514,3.9,0.001,0
SC Eichberg,Bundesliga,163.5,0.977,-4.3,0.649,23.4,13.01,4.41,0.419,0.264,8.0,0.472,0
Olympia Dollard,Eredivisie,125.8,0.956,53.7,0.237,20.0,-6.26,7.89,0.594,0.304,5.7,0.0251,0
SC Lindehoven,Eredivisie,184.3,0.741,59.0,0.518,29.9,0.37,8.01,0.642,0.157,5.8,0.0108,0
SV Rheinfelden,Bundesliga,163.5,0.659,26.9,0.423,30.2,9.2,5.55,0.578,0.868,9.7,0.0003,0
FC Waldkirchen,Bundesliga,123.6,0.71,30.3,0.498,-7.0,5.75,-6.2,0.688,0.57,3.3,0.0171,0
TSV Mooshausen,Bundesliga,100.4,0.607,-4.1,0.486,5.6,7.54,-3.72,0.208,0.245,8.1,0.0939,0
VV Polderkamp,Eredivisie,127.9,0.905,17.2,0.296,-4.1,8.18,8.73,0.51,0.393,4.4,0.067,0
Royal Ardennes FC,Belgian Pro League,271.0,0.753,15.2,0.258,-3.4,1.2,1.96,0.258,0.907,5.0,0.0019,0
SV Rheinfelden,Bundesliga,67.1,0.68,-22.8,0.275,37.1,1.08,0.78,0.655,0.887,6.7,0.0008,0
VfL Donaustein,Bundesliga,208.9,0.816,67.8,0.226,-4.1,6.57,8.31,0.668,0.069,8.3,0.0708,0
VfL Donaustein,Bundesliga,144.2,1.032,4.6,0.815,22.2,5.93,7.48,0.352,0.654,11.3,0.0703,1
VfL Donaustein,Bundesliga,139.7,0.588,29.8,0.371,6.5,5.1,4.55,0.614,0.153,3.2,0.022,0
SC Eichberg,Bundesliga,95.4,0.783,2.0,0.413,-3.2,-3.54,7.65,0.515,0.211,1.2,0.337,0
Olympia Dollard,Eredivisie,84.9,0.807,6.2,0.304,-1.2,9.86,-7.72,0.25,0.864,5.1,0.0025,0
Borussia Talheim,Bundesliga,118.3,0.621,12.2,0.687,25.2,-7.91,5.15,0.501,0.895,6.6,0.0009,0
SC Eichberg,Bundesliga,83.0,0.827,3.2,0.815,27.1,-10.33,9.31,0.688,0.083,2.7,0.8623,1
AFC Kanaalstad,Eredivisie,91.2,0.862,27.5,0.725,36.0,-4.65,-9.02,0.354,0.874,10.7,0.0033,0
Royal Ardennes FC,Belgian Pro League,184.8,0.585,63.4,0.558,3.6,-7.39,-5.54,0.201,0.728,9.6,0.0009,0
TSV Mooshausen,Bundesliga,72.7,0.636,9.2,0.75,31.2,4.9,5.88,0.688,0.776,5.9,0.0034,0
Olympia Dollard,Eredivisie,213.1,0.936,67.7,0.408,31.5,-8.07,0.4,0.407,0.792,5.4,0.0019,0
AFC Kanaalstad,Eredivisie,81.7,0.713,28.7,0.775,10.6,4.69,-8.27,0.415,0.507,0.5,0.1483,0
Olympia Dollard,Eredivisie,55.3,0.891,20.9,0.751,-8.8,0.4,-4.64,0.556,0.947,6.4,0.0878,0
FC Waldkirchen,Bundesliga,50.7,0.892,-8.1,0.244,-4.2,-10.43,-3.52,0.502,0.2,7.1,0.4652,0
KAS Dendermonde-West,Belgian Pro League,53.0,1.001,-21.3,0.553,-11.5,-7.25,-3.58,0.351,0.505,10.7,0.8276,1
SpVgg Lindenau,Bundesliga,60.0,0.946,40.3,0.406,38.0,0.65,7.55,0.25,0.319,6.0,0.0073,0
TSV Mooshausen,Bundesliga,163.0,0.951,31.1,0.233,7.2,6.99,3.24,0.614,0.822,1.9,0.0064,0
VV Polderkamp,Eredivisie,273.6,0.787,31.8,0.657,21.0,-3.05,4.7,0.442,0.083,2.2,0.1547,0
FC Hertenbos,Eredivisie,116.4,0.769,43.9,0.21,36.3,-8.02,-9.73,0.536,0.434,1.9,0.0385,0
FC Walloon Rovers,Belgian Pro League,244.0,0.681,20.3,0.599,15.2,-6.15,-1.45,0.63,0.773,11.3,0.0069,0
VV Polderkamp,Eredivisie,123.9,0.729,42.6,0.833,30.4,-12.15,-3.64,0.209,0.312,9.5,0.0254,0
SpVgg Lindenau,Bundesliga,196.5,0.716,16.1,0.468,-3.6,-14.25,7.04,0.63,0.24,9.9,0.1853,0
SC Eichberg,Bundesliga,67.0,0.625,46.4,0.471,23.5,14.19,9.08,0.576,0.263,10.1,0.0008,0
RKC Zandvoort-Noord,Eredivisie,161.0,0.735,7.3,0.567,-3.0,-12.11,-1.53,0.673,0.714,1.1,0.18,0
KAS Dendermonde-West,Belgian Pro League,124.7,0.734,-7.1,0.715,6.2,-11.25,9.46,0.317,0.287,8.4,0.406,0
FC Waldkirchen,Bundesliga,106.7,0.558,34.0,0.364,14.3,11.13,-9.71,0.361,0.403,8.5,0.0131,0
SpVgg Lindenau,Bundesliga,98.2,0.687,-8.2,0.376,35.8,4.91,-3.49,0.531,0.546,2.7,0.0124,0
FC Maasdijk,Eredivisie,120.8,0.924,55.0,0.591,25.9,-1.92,5.5,0.663,0.941,5.9,0.0021,0
KVC Houtland,Belgian Pro League,85.0,0.85,28.1,0.824,32.5,4.47,-2.8,0.696,0.794,7.9,0.0236,0
AFC Kanaalstad,Eredivisie,154.8,0.937,3.7,0.374,-11.3,13.05,8.42,0.408,0.185,10.8,0.2259,0
Olympia Dollard,Eredivisie,170.4,0.792,3.8,0.415,49.1,-12.02,-5.63,0.47,0.883,1.3,0.0021,0
Union Kempen,Belgian Pro League,58.7,1.006,45.7,0.874,-13.8,-7.69,5.91,0.285,0.845,10.7,0.0962,0
SpVgg Lindenau,Bundesliga,107.5,0.953,27.1,0.323,34.1,10.81,-5.97,0.547,0.745,11.1,0.0057,0
KV Scheldebrug,Belgian Pro League,70.0,0.608,44.7,0.281,39.6,8.42,-6.06,0.619,0.517,11.1,0.0005,0
Olympia Dollard,Eredivisie,178.7,1.014,-2.8,0.547,18.1,14.83,-1.09,0.599,0.07,0.1,0.7283,1
SK Meerhout,Belgian Pro League,163.0,0.521,58.1,0.194,24.1,-5.58,8.9,0.373,0.712,2.7,0.0002,0
FC Walloon Rovers,Belgian Pro League,198.5,0.807,31.1,0.273,34.4,13.35,1.71,0.682,0.518,8.3,0.0031,0
FC Nordhafen,Bundesliga,270.3,0.876,51.0,0.515,31.3,-4.69,2.7,0.26,0.31,3.9,0.0145,0
RKC Zandvoort-Noord,Eredivisie,174.7,0.681,16.9,0.594,1.1,6.45,-9.81,0.447,0.01,0.7,0.6188,1
Union Kempen,Belgian Pro League,169.7,0.822,-7.8,0.501,36.1,11.48,-8.87,0.477,0.231,9.2,0.1984,1
AFC Kanaalstad,Eredivisie,183.0,0.693,63.0,0.412,-2.8,-9.88,-8.66,0.468,0.606,0.3,0.0336,0
Union Kempen,Belgian Pro League,94.3,0.577,55.3,0.586,26.1,-8.83,6.39,0.579,0.112,5.4,0.0223,0
AFC Kanaalstad,Eredivisie,211.7,0.495,20.7,0.562,37.3,2.43,-5.26,0.505,0.655,11.4,0.0012,0
SC Lindehoven,Eredivisie,189.1,0.551,62.6,0.678,46.2,10.31,-3.42,0.239,0.82,5.3,0.0003,0
SC Lindehoven,Eredivisie,126.8,0.582,-4.5,0.706,23.7,-12.63,2.2,0.29,0.318,10.9,0.0642,0
Sparta Veenendaal,Eredivisie,136.8,0.843,-4.3,0.619,2.1,10.53,1.68,0.466,0.082,4.9,0.7849,1
Royal Ardennes FC,Belgian Pro League,151.0,0.793,-8.9,0.757,18.9,-4.71,-1.79,0.547,0.14,4.2,0.9214,1
FC Waldkirchen,Bundesliga,190.0,0.738,20.2,0.699,6.2,-2.81,-9.91,0.457,0.358,1.3,0.4281,0
SC Lindehoven,Eredivisie,235.8,0.84,-0.5,0.222,19.7,-4.8,-1.01,0.378,0.813,4.3,0.0017,0
SV Rheinfelden,Bundesliga,261.2,0.477,28.8,0.734,26.9,12.34,4.78,0.226,0.634,4.0,0.0004,0
KVC Houtland,Belgian Pro League,69.1,0.698,-13.6,0.803,39.2,-11.08,-5.3,0.593,0.868,10.2,0.022,0
SC Eichberg,Bundesliga,131.7,0.932,39.4,0.402,-0.4,2.23,4.17,0.449,0.994,11.0,0.0045,0
Royal Ardennes FC,Belgian Pro League,95.1,1.018,43.0,0.23,-5.5,-10.56,-9.7,0.469,0.203,0.3,0.9008,0
FC Hertenbos,Eredivisie,75.3,0.782,29.5,0.615,18.2,12.86,8.16,0.434,0.695,1.2,0.0129,0
SC Eichberg,Bundesliga,37.6,0.614,-12.5,0.531,-2.0,8.94,9.0,0.333,0.467,7.7,0.0131,0
RFC Lysveld,Belgian Pro League,35.7,0.988,30.9,0.731,-2.8,-7.99,-9.95,0.338,0.493,5.8,0.6583,0
KV Scheldebrug,Belgian Pro League,72.5,1.016,-4.6,0.566,3.8,-6.07,-0.84,0.232,0.326,3.6,0.6787,0
AFC Kanaalstad,Eredivisie,30.4,0.79,29.7,0.303,18.8,-3.55,-1.72,0.554,0.343,3.1,0.0765,0
FC Nordhafen,Bundesliga,72.5,0.682,19.9,0.387,9.0,-2.84,6.84,0.336,0.676,2.7,0.0023,0
SK Meerhout,Belgian Pro League,202.9,0.518,19.8,0.72,31.5,9.52,0.81,0.349,0.621,6.3,0.0008,0
VV Polderkamp,Eredivisie,83.2,0.858,-16.1,0.248,40.2,1.94,2.23,0.697,0.319,0.2,0.032,0
FC Waldkirchen,Bundesliga,56.3,1.036,38.0,0.711,14.6,-2.16,-5.95,0.393,0.119,8.9,0.5895,1
SpVgg Lindenau,Bundesliga,177.2,0.86,60.9,0.357,4.6,6.58,-8.46,0.455,0.578,3.6,0.0193,0
AFC Kanaalstad,Eredivisie,183.9,0.669,40.6,0.456,-3.0,-1.26,3.85,0.393,0.739,5.1,0.0019,0
Royal Ardennes FC,Belgian Pro League,189.0,0.836,64.2,0.503,-3.7,-11.15,2.41,0.345,0.559,6.3,0.0139,0
KAS Dendermonde-West,Belgian Pro League,172.9,0.942,59.9,0.333,18.5,-11.78,6.65,0.203,0.004,2.5,0.1695,0
SC Eichberg,Bundesliga,254.2,0.719,12.6,0.543,32.8,-5.22,6.89,0.627,0.282,10.6,0.0146,0
TSV Mooshausen,Bundesliga,68.9,0.984,32.1,0.676,-13.4,3.09,2.62,0.437,0.779,8.2,0.0966,0
FC Maasdijk,Eredivisie,107.5,0.743,7.2,0.264,2.1,-10.95,0.77,0.56,0.743,10.4,0.0025,0
Royal Ardennes FC,Belgian Pro League,180.8,0.687,26.5,0.407,11.9,1.5,8.28,0.679,0.01,5.7,0.0555,0
FC Walloon Rovers,Belgian Pro League,186.8,0.806,1.8,0.641,8.2,-6.91,6.03,0.201,0.47,5.2,0.0607,0
Union Kempen,Belgian Pro League,31.7,0.816,46.4,0.715,46.2,5.86,7.65,0.538,0.437,2.8,0.0065,0
VfL Donaustein,Bundesliga,197.8,1.006,46.9,0.507,-4.9,-14.15,9.92,0.259,0.652,6.5,0.0937,0
AFC Kanaalstad,Eredivisie,118.3,0.803,2.1,0.702,-7.1,-0.93,-1.93,0.429,0.125,7.1,0.8841,1
FC Hertenbos,Eredivisie,181.2,0.705,17.6,0.237,13.3,-13.43,4.34,0.623,0.621,5.0,0.014,0
FC Hertenbos,Eredivisie,136.9,0.731,16.3,0.269,-0.6,-5.08,3.76,0.236,0.947,1.7,0.0015,0
AFC Kanaalstad,Eredivisie,184.3,0.789,46.9,0.587,-2.8,-14.53,-6.52,0.695,0.372,3.3,0.3629,0
FC Maasdijk,Eredivisie,82.4,0.736,48.6,0.668,15.7,-0.93,2.73,0.49,0.337,0.2,0.0532,0
VfL Donaustein,Bundesliga,129.6,0.905,7.7,0.719,4.4,8.01,-1.44,0.397,0.028,3.8,0.8997,1
FC Maasdijk,Eredivisie,161.1,0.712,23.0,0.295,-2.6,-11.99,-0.99,0.21,0.057,7.0,0.1281,0
AFC Kanaalstad,Eredivisie,89.6,0.747,23.9,0.551,27.1,7.06,-6.4,0.493,0.932,11.5,0.0008,0
FC Walloon Rovers,Belgian Pro League,133.6,0.848,13.7,0.618,17.9,2.53,4.89,0.447,0.976,2.1,0.0026,0
FC Nordhafen,Bundesliga,164.7,0.544,25.9,0.321,1.7,0.14,3.96,0.308,0.006,0.7,0.058,0
RFC Lysveld,Belgian Pro League,66.2,0.899,-16.4,0.564,37.9,2.98,0.65,0.445,0.901,3.6,0.0083,0
RKC Zandvoort-Noord,Eredivisie,88.7,0.811,-9.0,0.629,6.0,-4.92,-6.87,0.206,0.174,1.9,0.8831,1
SV Rheinfelden,Bundesliga,171.4,0.745,18.7,0.311,48.6,6.31,1.14,0.7,0.561,8.3,0.002,0
FC Nordhafen,Bundesliga,158.4,0.89,56.8,0.421,42.4,8.39,-8.0,0.366,0.678,0.1,0.0018,0
